# |--------------------------------------------------------------------------------------|
# | MODEL DIMENSIONS
# |--------------------------------------------------------------------------------------|
# | agek
# | syr
# | nyr
# | ngear
# | nEpochs
# | nIt_nobs
    6
	1965 
	1987
	1
	1
	23
# |--------------------------------------------------------------------------------------|
# | CATCH & RELATIVE ABUNDANCE DATA
# |--------------------------------------------------------------------------------------|
# | iyr
# | ct
# | it 
#  yr  ct
   1965  94
   1966 212
   1967 195
   1968 383
   1969 320
   1970 402
   1971 366
   1972 606
   1973 378
   1974 319
   1975 309
   1976 389
   1977 277
   1978 254
   1979 170
   1980  97
   1981  91
   1982 177
   1983 216
   1984 229
   1985 211
   1986 231
   1987 223
# RELATIVE ABUNDANCE DATA
#   yr     Epoch   it  CV
	1965     1 1.78 0.1
	1966     1 1.31 0.1
	1967     1 0.91 0.1
	1968     1 0.96 0.1
	1969     1 0.88 0.1
	1970     1 0.90 0.1
	1971     1 0.87 0.1
	1972     1 0.72 0.1
	1973     1 0.57 0.1
	1974     1 0.45 0.1
	1975     1 0.42 0.1
	1976     1 0.42 0.1
	1977     1 0.49 0.1
	1978     1 0.43 0.1
	1979     1 0.40 0.1
	1980     1 0.45 0.1
	1981     1 0.55 0.1
	1982     1 0.53 0.1
	1983     1 0.58 0.1
	1984     1 0.64 0.1
	1985     1 0.66 0.1
	1986     1 0.65 0.1
	1987     1 0.63 0.1
## eof -999
-999
