#Year Epoch WPUE CV
1907 1 280 0.1
1910 1 271 0.1
1911 1 237 0.1
1912 1 176 0.1
1913 1 129 0.1
1914 1 124 0.1
1915 1 118 0.1
1916 1 137 0.1
1917 1 98 0.1
1918 1 96 0.1
1919 1 93 0.1
1920 1 96 0.1
1921 1 88 0.1
1922 1 73 0.1
1923 1 78 0.1
1924 1 74 0.1
1925 1 68 0.1
1926 1 67 0.1
1927 1 65 0.1
1928 1 58 0.1
1929 1 51 0.1
1930 1 46 0.1
1931 1 50 0.1
1932 1 60 0.1
1933 1 63 0.1
1934 1 62 0.1
1935 1 76 0.1
1936 1 71 0.1
1937 1 80 0.1
1938 1 88 0.1
1939 1 80 0.1
1940 1 81 0.1
1941 1 85 0.1
1942 1 90 0.1
1943 1 95 0.1
1944 1 110 0.1
1945 1 102 0.1
1946 1 101 0.1
1947 1 99 0.1
1948 1 99 0.1
1949 1 95 0.1
1950 1 95 0.1
1951 1 96 0.1
1952 1 110 0.1
1953 1 131 0.1
1954 1 133 0.1
1955 1 119 0.1
1956 1 129 0.1
1957 1 110 0.1
1958 1 121 0.1
1959 1 129 0.1
1960 1 132 0.1
1961 1 127 0.1
1962 1 115 0.1
1963 1 105 0.1
1964 1 100 0.1
1965 1 99 0.1
1966 1 100 0.1
1967 1 101 0.1
1968 1 103 0.1
1969 1 95 0.1
1970 1 91 0.1
1971 1 89 0.1
1972 1 78 0.1
1973 2 63 0.1
1974 2 61 0.1
1975 2 61 0.1
1976 2 55 0.1
1977 2 63 0.1
1978 2 71 0.1
1979 2 75 0.1
1980 2 94 0.1
1981 2 111 0.1
1982 2 127 0.1
1984 3 291 0.1
1985 3 357 0.1
1986 3 320 0.1
1987 3 321 0.1
1988 3 368 0.1
1989 3 358 0.1
1990 3 318 0.1
1991 3 317 0.1
1992 3 319 0.1
1993 3 373 0.1
1994 3 306 0.1
1995 3 330 0.1
1996 3 415 0.022
1997 3 423 0.021
1998 3 429 0.021
1999 3 398 0.023
2000 3 417 0.022
2001 3 382 0.024
2002 3 379 0.024
2003 3 346 0.023
2004 3 338 0.024
2005 3 314 0.022
2006 3 283 0.025
2007 3 268 0.022
2008 3 249 0.024
2009 3 236 0.021
2010 3 210 0.024
2011 3 209 0.024
2012 3 209 0.024
1977 4 45.1 0.1
1978 4 27 0.1
1980 4 60.7 0.1
1981 4 92.4 0.1
1982 4 97 0.1
1983 4 94.9 0.1
1984 5 268.2 0.1
1985 5 270.3 0.1
1986 5 226.8 0.1
1996 5 301.5 0.1
1997 5 159.6 0.029
1998 5 153.3 0.028
1999 5 142.9 0.029
2000 5 137.1 0.027
2001 5 128.5 0.029
2002 5 125.9 0.029
2003 5 108.8 0.03
2004 5 108.9 0.029
2005 5 100.9 0.029
2006 5 88.9 0.031
2007 5 85.8 0.029
2008 5 81.5 0.028
2009 5 76.7 0.029
2010 5 68.3 0.032
2011 5 65.4 0.029
2012 5 72.2 0.03
